device,router,connect_at,disconnect_at,lat,lng
18190,Karakoy_1.Asma_Kat_e5:7a,2016-05-08 00:06:00,2016-05-08 00:16:00,,
18123,Karakoy_1.Asma_Kat_e5:7a,2016-05-08 00:06:00,2016-05-08 00:26:00,,
18197,Karakoy_1.Asma_Kat_e5:7a,2016-05-08 00:06:00,2016-05-08 00:16:00,,
12387,Karakoy_GirisKat_8a:ce,2016-05-08 00:06:00,2016-05-08 00:16:00,,
18055,Karakoy_1.Asma_Kat_e5:7a,2016-05-08 00:06:00,2016-05-08 00:26:00,,
14272,Yurt_A4_3022_63:88,2016-05-08 00:08:00,2016-05-08 00:18:00,40.892906,29.3826768
14,FASS_1056_3b:dc,2016-05-08 00:08:00,2016-05-08 00:18:00,40.8908986,29.3786304
8000,Main_Gate_e4:b0,2016-05-08 00:08:00,2016-05-08 00:38:00,40.8897876,29.3739547
59,Yurt_B7_2053_63:e2,2016-05-08 00:08:00,2016-05-08 01:48:00,40.8929525,29.3819474
69,Yurt_Cafe1_35:f7,2016-05-08 00:08:00,2016-05-08 00:18:00,40.8917931,29.3813097
110,Yurt_B5_105_63:52,2016-05-08 00:08:00,2016-05-08 01:28:00,40.8923274,29.3812465
11211,Yurt_B11_3030_55:a2,2016-05-08 00:08:00,2016-05-08 00:28:00,40.8906273,29.3827336
54,Yurt_A1_T_303_f8:5a,2016-05-08 00:08:00,2016-05-08 00:28:00,40.8917838,29.3820471
11876,Yurt_B6_117_56:c4,2016-05-08 00:08:00,2016-05-08 01:08:00,40.8928568,29.3813787
146,Yurt_B4_116_1118_AP6_64:3c,2016-05-08 00:08:00,2016-05-08 00:28:00,40.8918133,29.3820547
209,Yurt_A6_3028_64:70,2016-05-08 00:08:00,2016-05-08 00:18:00,40.8926733,29.3813851
225,Yurt_B3_225_74:aa,2016-05-08 00:08:00,2016-05-08 00:18:00,40.8911029,29.3819004
237,Yurt_A6_103_74:22,2016-05-08 00:08:00,2016-05-08 01:18:00,40.8929099,29.3816002
248,Yurt_B2_117_74:6a,2016-05-08 00:08:00,2016-05-08 01:38:00,40.8924083,29.3807481
