device,router,connect_at,disconnect_at,lat,lng
281,Yurt_Cafe1_35:f7,2016-05-29 00:07:00,2016-05-29 00:18:00,40.8917931,29.3813097
82,Yurt_B10_Kat3_AP2_61:bc,2016-05-29 00:07:00,2016-05-29 00:18:00,40.8909511,29.3828069
196,Yurt_B10_KatG_AP3_06:82,2016-05-29 00:07:00,2016-05-29 00:18:00,40.8909686,29.3828831
9156,Yurt_G_G03_0a:a4,2016-05-29 00:07:00,2016-05-29 00:28:00,40.8914566,29.3836555
457,Yurt_B4_K2_AP6_64:3a,2016-05-29 00:07:00,2016-05-29 00:18:00,40.8914839,29.38201
378,Yurt_B10_Kat2_AP4_84:da,2016-05-29 00:07:00,2016-05-29 00:18:00,40.8908502,29.3830637
18790,Yurt_B9_004_71:ca,2016-05-29 00:07:00,2016-05-29 00:18:00,40.8941378,29.3806375
9255,Yurt_B3_KatG_AP5_07:aa,2016-05-29 00:07:00,2016-05-29 00:18:00,40.8910451,29.3819959
612,Yurt_B4_008-0010_AP5_e5:b2,2016-05-29 00:07:00,2016-05-29 00:18:00,40.8917961,29.3817193
13711,Yurt_B2_202_5d:4a,2016-05-29 00:07:00,2016-05-29 00:18:00,40.8925529,29.3801491
17650,Yurt_A1_S_208_f8:37,2016-05-29 00:07:00,2016-05-29 01:18:00,40.8922139,29.3818554
603,Yurt_B3_Kat1_AP1_84:d0,2016-05-29 00:07:00,2016-05-29 00:28:00,40.8913719,29.3816987
671,Yurt_A5_005_08:20,2016-05-29 00:07:00,2016-05-29 00:18:00,,
824,Yurt_B10_KatG_AP3_06:82,2016-05-29 00:07:00,2016-05-29 00:28:00,40.8909686,29.3828831
1134,LC_1009_fc:db,2016-05-29 00:07:00,2016-05-29 00:38:00,40.8917012,29.3772877
853,Yurt_A5_2028_63:d6,2016-05-29 00:07:00,2016-05-29 00:18:00,40.8926634,29.3819865
858,Yurt_B4_101_103_AP1_64:08,2016-05-29 00:07:00,2016-05-29 00:38:00,40.8913871,29.382149
1021,LC_1031_36:36,2016-05-29 00:07:00,2016-05-29 00:18:00,40.8918552,29.3780251
1202,Yurt_B9_2053_63:64,2016-05-29 00:07:00,2016-05-29 00:28:00,40.8943926,29.3806796
1329,Yurt_D1B_223_74:b8,2016-05-29 00:07:00,2016-05-29 00:18:00,40.89193,29.3813777
16132,FMAN_204_34:c4,2016-05-29 00:07:00,2016-05-29 01:08:00,40.891931,29.3790437
1210,Yurt_A2_T_309_f7:7e,2016-05-29 00:07:00,2016-05-29 00:28:00,40.8923437,29.3822749
1448,Machine_Shop_d4:9e,2016-05-29 00:07:00,2016-05-29 00:48:00,40.8954629,29.3750911
1574,Yurt_B7_304_62:22,2016-05-29 00:07:00,2016-05-29 00:18:00,40.8928759,29.3817995
1567,Yurt_B4_105_107_AP2_5a:82,2016-05-29 00:07:00,2016-05-29 00:18:00,40.8913102,29.3827014
1624,Yurt_Cafe2_d5:05,2016-05-29 00:07:00,2016-05-29 00:18:00,40.8917726,29.3811259
1628,Yurt_A5_2028_63:d6,2016-05-29 00:07:00,2016-05-29 00:28:00,40.8926634,29.3819865
1791,Yurt_Cafe1_35:f7,2016-05-29 00:07:00,2016-05-29 00:38:00,40.8917931,29.3813097
11189,Yurt_B10_Kat2_AP2_71:98,2016-05-29 00:07:00,2016-05-29 00:18:00,40.8912008,29.3831087
1636,Yurt_B10_KatG_AP3_06:82,2016-05-29 00:07:00,2016-05-29 00:38:00,40.8909686,29.3828831
17070,Yurt_Cafe1_35:f7,2016-05-29 00:07:00,2016-05-29 00:18:00,40.8917931,29.3813097
13352,Yurt_A5_007_59:3c,2016-05-29 00:07:00,2016-05-29 00:18:00,40.892884,29.3822161
1910,CP_G076_Elektrik_Odas&#305;_n03:a2,2016-05-29 00:07:00,2016-05-29 00:18:00,40.8885083,29.3798546
1825,FMAN_1075_58:30,2016-05-29 00:07:00,2016-05-29 00:18:00,40.892134,29.3784111
1955,Yurt_Cafe1_35:f7,2016-05-29 00:07:00,2016-05-29 00:58:00,40.8917931,29.3813097
17254,Yurt_A6_3028_64:70,2016-05-29 00:07:00,2016-05-29 00:38:00,40.8926733,29.3813851
2359,Yurt_B6_3053_5d:ca,2016-05-29 00:07:00,2016-05-29 01:28:00,40.8931616,29.3813229
13436,CP_G078_Koridor_e4:0a,2016-05-29 00:07:00,2016-05-29 00:28:00,40.8885558,29.3799841
2175,Yurt_B8_209_63:cc,2016-05-29 00:07:00,2016-05-29 00:18:00,40.8937486,29.3807832
9285,Yurt_A1_G_03_f8:35,2016-05-29 00:07:00,2016-05-29 00:18:00,40.8918924,29.3819134
5511,FMAN_210_Oda_35:d6,2016-05-29 00:07:00,2016-05-29 00:38:00,40.8920126,29.3790014
2620,Yurt_Cafe1_35:f7,2016-05-29 00:07:00,2016-05-29 00:28:00,40.8917931,29.3813097
2645,Yurt_A1_F_106_f8:27,2016-05-29 00:07:00,2016-05-29 00:58:00,40.8922173,29.3818446
16464,FMAN_235_c5:e2,2016-05-29 00:07:00,2016-05-29 00:58:00,40.89201,29.3783335
2661,Yurt_A3_G_004_47:83,2016-05-29 00:07:00,2016-05-29 00:18:00,40.8924407,29.3828527
2671,Main_Gate_e4:b0,2016-05-29 00:07:00,2016-05-29 00:28:00,40.8897876,29.3739547
2596,Yurt_B11_KatG_AP4_5a:6c,2016-05-29 00:07:00,2016-05-29 00:18:00,40.8907562,29.3830987
15247,Yurt_B10_Kat2_AP3_64:10,2016-05-29 00:07:00,2016-05-29 00:28:00,40.8909828,29.3829247
2917,Yurt_B3_KatG_AP4_74:a4,2016-05-29 00:07:00,2016-05-29 00:18:00,40.8909623,29.3818568
2988,Yurt_A6_005_74:20,2016-05-29 00:07:00,2016-05-29 00:18:00,40.8925596,29.3816736
2976,LC_1009_fc:db,2016-05-29 00:07:00,2016-05-29 00:18:00,40.8917012,29.3772877
17081,Yurt_A6_203_62:20,2016-05-29 00:07:00,2016-05-29 00:28:00,40.8927851,29.3816755
3121,Yurt_B8_209_63:cc,2016-05-29 00:07:00,2016-05-29 10:23:00,40.8937486,29.3807832
11710,Yurt_B10_KatG_AP3_06:82,2016-05-29 00:07:00,2016-05-29 00:18:00,40.8909686,29.3828831
6820,Yurt_A5_303_63:a6,2016-05-29 00:07:00,2016-05-29 00:58:00,40.8929776,29.3820221
3199,LC_1020_90:6f,2016-05-29 00:07:00,2016-05-29 00:18:00,40.8916058,29.3776663
17154,Yurt_B2_G001_5b:00,2016-05-29 00:07:00,2016-05-29 00:18:00,40.8926967,29.380191
12560,D2_1012_a9:3b,2016-05-29 00:07:00,2016-05-29 00:18:00,40.8916654,29.3827355
3406,UC_Starbucks_d5:3d,2016-05-29 00:07:00,2016-05-29 00:18:00,40.8917016,29.3801932
3483,Main_Gate_e4:b0,2016-05-29 00:07:00,2016-05-29 00:28:00,40.8897876,29.3739547
9305,Yurt_B2_305_62:68,2016-05-29 00:07:00,2016-05-29 00:18:00,40.8923782,29.3801362
