device,router,connect_at,disconnect_at,lat,lng
12443,Yurt_B8_309_64:aa,2016-05-31 00:06:00,2016-05-31 00:16:00,40.8935179,29.3810673
1667,Kut_Giris_Masa4_a9:cd,2016-05-31 00:06:00,2016-05-31 00:16:00,40.8901457,29.3778599
1688,UC_Starbucks_d5:3d,2016-05-31 00:06:00,2016-05-31 00:16:00,40.8917016,29.3801932
1636,Yurt_B10_Kat2_AP2_71:98,2016-05-31 00:06:00,2016-05-31 00:36:00,40.8912008,29.3831087
16135,BM_Kapi_onu_d5:36,2016-05-31 00:06:00,2016-05-31 00:16:00,40.8902482,29.3776761
1723,Main_Gate_e4:b0,2016-05-31 00:06:00,2016-05-31 00:26:00,40.8897876,29.3739547
1860,Yurt_A2_G_005_47:84,2016-05-31 00:06:00,2016-05-31 15:37:00,40.8922668,29.3822131
12875,Yurt_A4_303_61:ea,2016-05-31 00:06:00,2016-05-31 12:34:00,40.8928166,29.3825953
19041,BM_Kapi_onu_d5:36,2016-05-31 00:06:00,2016-05-31 00:16:00,40.8902482,29.3776761
1979,Yurt_A2_G_005_47:84,2016-05-31 00:06:00,2016-05-31 00:36:00,40.8922668,29.3822131
2024,Yurt_A6_208_74:1a,2016-05-31 00:06:00,2016-05-31 00:46:00,40.8925294,29.3819535
2088,Yurt_A5_309_64:7c,2016-05-31 00:06:00,2016-05-31 00:26:00,40.892745,29.3824068
16462,FMAN_1096__c4:0d,2016-05-31 00:06:00,2016-05-31 00:16:00,40.8923302,29.3792071
2138,Yurt_A6_2028_63:f4,2016-05-31 00:06:00,2016-05-31 00:16:00,40.8927356,29.3815402
2141,Yurt_A6_G034_ff:90,2016-05-31 00:06:00,2016-05-31 00:16:00,40.892812,29.3816076
2147,Yurt_A3_S_203_47:d8,2016-05-31 00:06:00,2016-05-31 01:16:00,40.8920801,29.3829151
2197,Yurt_B3_Kat2_AP7_86:0c,2016-05-31 00:06:00,2016-05-31 00:16:00,40.8911114,29.3820051
2163,Yurt_Cafe1_35:f7,2016-05-31 00:06:00,2016-05-31 00:16:00,40.8917931,29.3813097
11835,Yurt_B10_Kat2_AP3_64:10,2016-05-31 00:06:00,2016-05-31 00:16:00,40.8909828,29.3829247
13944,Yurt_G_G03_0a:6a,2016-05-31 00:06:00,2016-05-31 00:26:00,40.891324,29.3835701
2289,Yurt_A6_308_73:4e,2016-05-31 00:06:00,2016-05-31 00:36:00,40.8924527,29.3816769
2292,Yurt_A4_1021_5c:64,2016-05-31 00:06:00,2016-05-31 00:46:00,40.8928701,29.3827405
2359,FASS_Outway_3d:3e,2016-05-31 00:06:00,2016-05-31 00:16:00,40.8907273,29.3777789
6954,Yurt_G_G09_fc:01,2016-05-31 00:06:00,2016-05-31 00:26:00,40.891114,29.3834486
2304,Yurt_B3_Kat1_AP7_85:10,2016-05-31 00:06:00,2016-05-31 00:16:00,40.8912417,29.3818043
2428,Yurt_B10_Kat2_AP3_64:10,2016-05-31 00:06:00,2016-05-31 00:16:00,40.8909828,29.3829247
20178,FMAN_250_35:e9,2016-05-31 00:06:00,2016-05-31 01:06:00,40.891793,29.3785149
2438,Yurt_B11_Kat3_AP4_85:3c,2016-05-31 00:06:00,2016-05-31 00:36:00,40.8908463,29.3830954
2435,Yurt_F_G04_03:74,2016-05-31 00:06:00,2016-05-31 08:41:00,40.8913872,29.383697
2608,Yurt_B2_1002_62:36,2016-05-31 00:06:00,2016-05-31 00:36:00,40.8925438,29.3802066
2615,IC_7/24_c4:2f,2016-05-31 00:06:00,2016-05-31 00:16:00,40.8900774,29.3776708
2645,Yurt_B1_209_62:e2,2016-05-31 00:06:00,2016-05-31 00:16:00,40.892649,29.3812167
2661,Yurt_B11_Kat3_AP4_85:3c,2016-05-31 00:06:00,2016-05-31 00:36:00,40.8908463,29.3830954
2662,Yurt_A5_2028_63:d6,2016-05-31 00:06:00,2016-05-31 01:06:00,40.8926634,29.3819865
2774,Yurt_A3_F_103_47:d2,2016-05-31 00:06:00,2016-05-31 00:26:00,40.8922499,29.3828613
2704,Yurt_G_G01_0a:1e,2016-05-31 00:06:00,2016-05-31 00:26:00,,
8679,Yurt_A4_G016_5E:12,2016-05-31 00:06:00,2016-05-31 00:16:00,,
12897,FASS_Outway_3d:3e,2016-05-31 00:06:00,2016-05-31 00:16:00,40.8907273,29.3777789
2890,Yurt_B4_012-014_AP6_62:14,2016-05-31 00:06:00,2016-05-31 00:16:00,40.8917779,29.381839
6978,Yurt_A1_S_208_f8:37,2016-05-31 00:06:00,2016-05-31 00:16:00,40.8922139,29.3818554
2879,Yurt_G_G11_07:6e,2016-05-31 00:06:00,2016-05-31 00:16:00,40.891018,29.3835894
2936,Kut_Kat1_Sag1_a9:3e,2016-05-31 00:06:00,2016-05-31 02:37:00,40.8905387,29.3775319
12829,Yurt_B2_1002_62:36,2016-05-31 00:06:00,2016-05-31 00:16:00,40.8925438,29.3802066
2995,Yurt_B10_Kat1_AP3_74:be,2016-05-31 00:06:00,2016-05-31 01:26:00,40.8909758,29.3829595
16055,Yurt_A4_2020_5e:e6,2016-05-31 00:06:00,2016-05-31 01:26:00,40.8928006,29.3827207
3071,Yurt_B3_Kat2_AP4_74:b0,2016-05-31 00:06:00,2016-05-31 00:16:00,40.8908299,29.3816665
16056,SC_G017_a4:9c,2016-05-31 00:06:00,2016-05-31 01:06:00,40.8933597,29.3741786
3121,FASS_Outway_3d:3e,2016-05-31 00:06:00,2016-05-31 00:16:00,40.8907273,29.3777789
16769,Yurt_B11_Kat2_AP2_5d:f8,2016-05-31 00:06:00,2016-05-31 00:16:00,40.8905651,29.3827854
17081,BM_Kapi_onu_d5:36,2016-05-31 00:06:00,2016-05-31 00:26:00,40.8902482,29.3776761
3169,Yurt_A2_S_205 _ca:69,2016-05-31 00:06:00,2016-05-31 00:26:00,40.8920702,29.382517
8270,Yurt_A6_303_63:c0,2016-05-31 00:06:00,2016-05-31 00:16:00,40.8928123,29.3816709
19189,FASS_2039_3b:f0,2016-05-31 00:06:00,2016-05-31 00:36:00,40.8904051,29.378137
6635,Main_Gate_e4:b0,2016-05-31 00:06:00,2016-05-31 00:16:00,40.8897876,29.3739547
3251,Yurt_D1B_219_64:5a,2016-05-31 00:06:00,2016-05-31 13:24:00,40.8918829,29.3810603
3198,Yurt_B11_Kat3_AP3_5a:64,2016-05-31 00:06:00,2016-05-31 00:36:00,40.8908574,29.3828861
3364,FASS_Outway_3d:3e,2016-05-31 00:06:00,2016-05-31 00:16:00,40.8907273,29.3777789
3463,Yurt_B7_KatG_AP4_08:84,2016-05-31 00:06:00,2016-05-31 00:16:00,,
3497,UC_1036_a9:e8,2016-05-31 00:06:00,2016-05-31 00:46:00,40.8916385,29.3798967
3501,CP_Gursel_22:2b,2016-05-31 00:06:00,2016-05-31 00:16:00,40.8889454,29.3781345
3569,Yurt_A4_103_63:ba,2016-05-31 00:06:00,2016-05-31 00:16:00,40.8928857,29.3824995
13825,Yurt_B1_KatG_AP4_08:7e,2016-05-31 00:06:00,2016-05-31 00:16:00,40.8928648,29.3811492
3617,Yurt_B4_K2_AP4_84:38,2016-05-31 00:06:00,2016-05-31 00:16:00,40.8915469,29.3824744
3663,Yurt_B3_Kat1_AP7_85:10,2016-05-31 00:06:00,2016-05-31 00:16:00,40.8912417,29.3818043
20280,FMAN_242_oda,2016-05-31 00:06:00,2016-05-31 00:36:00,40.8918819,29.3785144
3583,Yurt_B10_KatG_Ap4_85:0e,2016-05-31 00:06:00,2016-05-31 11:13:00,40.8908833,29.3828546
11258,Yurt_B11_Kat1_AP2_63:2a,2016-05-31 00:06:00,2016-05-31 00:26:00,40.8907988,29.3830067
3682,Yurt_B6_Kat1_AP2_64:62,2016-05-31 00:06:00,2016-05-31 00:16:00,40.8933707,29.381062
3737,Yurt_Cafe1_35:f7,2016-05-31 00:06:00,2016-05-31 00:46:00,40.8917931,29.3813097
3776,Main_Gate_e4:b0,2016-05-31 00:06:00,2016-05-31 00:26:00,40.8897876,29.3739547
3786,Yurt_D1B_223_74:b8,2016-05-31 00:06:00,2016-05-31 00:16:00,40.89193,29.3813777
19297,FMAN_G062_58:f2,2016-05-31 00:06:00,2016-05-31 00:16:00,40.8918962,29.3786444
20214,FMAN_235_c5:e2,2016-05-31 00:06:00,2016-05-31 00:16:00,40.89201,29.3783335
3942,Yurt_B10_Kat2_AP3_64:10,2016-05-31 00:06:00,2016-05-31 00:26:00,40.8909828,29.3829247
3955,Yurt_B2_211_60:80,2016-05-31 00:06:00,2016-05-31 01:26:00,40.8925599,29.380639
9312,Yurt_B8_104_59:52,2016-05-31 00:06:00,2016-05-31 00:16:00,40.893856,29.3809015
4059,Yurt_B5_Kat3_AP2_62:96,2016-05-31 00:06:00,2016-05-31 00:56:00,40.8920494,29.380624
4068,Kut_2017_CO_Sol_e0:06,2016-05-31 00:06:00,2016-05-31 00:16:00,40.8901565,29.3778039
4150,Yurt_A3_G_006_62:62,2016-05-31 00:06:00,2016-05-31 00:56:00,40.8921866,29.3829386
