device,router,connect_at,disconnect_at,lat,lng
5180,Yurt_B8_1049_63:de,2016-05-22 00:06:00,2016-05-22 01:57:00,40.8938447,29.381005
5173,Yurt_B7_1039_63:10,2016-05-22 00:06:00,2016-05-22 00:26:00,40.8932463,29.3820847
14536,Yurt_B11_Kat3_AP2_55:a2,2016-05-22 00:06:00,2016-05-22 00:16:00,40.8906273,29.3827336
11858,Yurt_A5_209_63:62,2016-05-22 00:06:00,2016-05-22 00:26:00,40.8925543,29.3824349
7633,Yurt_B9_304_63:96,2016-05-22 00:06:00,2016-05-22 00:26:00,40.8942142,29.3809638
5144,Yurt_A3_T_303_d4:b3,2016-05-22 00:06:00,2016-05-22 02:27:00,40.8920679,29.3829935
5139,FMAN_Altgiris_c3:f6,2016-05-22 00:06:00,2016-05-22 00:16:00,40.8920163,29.3781268
12040,Yurt_B8_009_64:1a,2016-05-22 00:06:00,2016-05-22 00:26:00,40.8937796,29.3809258
19413,Yurt_A4_G004_0a:44,2016-05-22 00:06:00,2016-05-22 00:26:00,40.8929911,29.3827045
5033,Yurt_B3_011_64:26,2016-05-22 00:06:00,2016-05-22 16:24:00,40.8913917,29.3818384
18599,Yurt_A1_T_308_f8:53,2016-05-22 00:06:00,2016-05-22 00:16:00,40.8922098,29.3820826
4978,Yurt_A2_S_2020_5b:54,2016-05-22 00:06:00,2016-05-22 01:57:00,40.8922327,29.38282
4977,Yurt_B11_Kat1_AP1_64:54,2016-05-22 00:06:00,2016-05-22 12:52:00,40.8908377,29.3827137
6391,CP_Gursel_22:2b,2016-05-22 00:06:00,2016-05-22 00:26:00,40.8889454,29.3781345
4908,Yurt_A2_F_106_f8:4a,2016-05-22 00:06:00,2016-05-22 00:26:00,40.8922806,29.3823489
4902,Yurt_B11_KatG_AP2_08:0c,2016-05-22 00:06:00,2016-05-22 01:16:00,40.8906556,29.3827474
17202,FMAN_2143_33:de,2016-05-22 00:06:00,2016-05-22 00:26:00,40.8917366,29.3787133
4840,LC_1020_90:6f,2016-05-22 00:06:00,2016-05-22 01:16:00,40.8916058,29.3776663
4829,Yurt_A6_303_63:c0,2016-05-22 00:06:00,2016-05-22 00:26:00,40.8928123,29.3816709
11571,Yurt_B2_215_74:46,2016-05-22 00:06:00,2016-05-22 02:17:00,40.8924525,29.380652
4806,Piazza_Cafe_7b:f7,2016-05-22 00:06:00,2016-05-22 00:16:00,40.8918525,29.3814655
4782,Yurt_B7_304_62:22,2016-05-22 00:06:00,2016-05-22 00:16:00,40.8928759,29.3817995
4780,Yurt_B3_011_64:26,2016-05-22 00:06:00,2016-05-22 00:16:00,40.8913917,29.3818384
4754,Yurt_G_G10_06:48,2016-05-22 00:06:00,2016-05-22 00:16:00,40.8912087,29.3836734
12938,Yurt_B7_310_63:12,2016-05-22 00:06:00,2016-05-22 01:26:00,40.8929656,29.3818206
4729,Yurt_B10_Kat2_AP3_64:10,2016-05-22 00:06:00,2016-05-22 00:16:00,40.8909828,29.3829247
