device,router,connect_at,disconnect_at,lat,lng
12370,Karakoy_2.Kat_8a:d8,2016-05-28 00:03:00,2016-05-28 00:43:00,,
7,Yurt_B10_KatG_Ap4_85:0e,2016-05-28 00:06:00,2016-05-28 01:47:00,40.8908833,29.3828546
54,Yurt_A1_T_303_f8:5a,2016-05-28 00:06:00,2016-05-28 00:36:00,40.8917838,29.3820471
16388,Yurt_D1B_218_e5:88,2016-05-28 00:06:00,2016-05-28 00:16:00,40.8919709,29.3814396
18572,Yurt_B7_319_63:dc,2016-05-28 00:06:00,2016-05-28 00:16:00,40.8931063,29.3820436
172,Yurt_B10_KatG_AP1_63:a0,2016-05-28 00:06:00,2016-05-28 00:16:00,40.8909128,29.3831656
237,Yurt_A3_T_309_f8:40,2016-05-28 00:06:00,2016-05-28 00:26:00,40.8924809,29.3833403
258,Yurt_B6_104_59:d2,2016-05-28 00:06:00,2016-05-28 03:08:00,40.8928515,29.3811099
341,Yurt_A5_1028_63:9a,2016-05-28 00:06:00,2016-05-28 01:47:00,40.8929526,29.3822016
281,Yurt_A2_T_3023_5b:84,2016-05-28 00:06:00,2016-05-28 00:16:00,40.8920279,29.3826785
8322,Yurt_B4_101_103_AP1_64:08,2016-05-28 00:06:00,2016-05-28 00:47:00,40.8913871,29.382149
304,Yurt_A2_T_3023_5b:84,2016-05-28 00:06:00,2016-05-28 00:26:00,40.8920279,29.3826785
311,UC_1036_a9:e8,2016-05-28 00:06:00,2016-05-28 00:16:00,40.8916385,29.3798967
450,Yurt_B10_Kat2_AP1_59:24,2016-05-28 00:06:00,2016-05-28 00:16:00,40.8910166,29.3833481
479,Yurt_G_G01_0a:1e,2016-05-28 00:06:00,2016-05-28 00:26:00,,
498,D2_1012_a9:3b,2016-05-28 00:06:00,2016-05-28 00:16:00,40.8916654,29.3827355
553,Yurt_A3_F_106_47:d9,2016-05-28 00:06:00,2016-05-28 00:36:00,40.8924542,29.3826751
428,Yurt_A6_308_73:4e,2016-05-28 00:06:00,2016-05-28 00:36:00,40.8924527,29.3816769
469,Yurt_B8_309_64:aa,2016-05-28 00:06:00,2016-05-28 00:16:00,40.8935179,29.3810673
9255,Yurt_A1_T_303_f8:5a,2016-05-28 00:06:00,2016-05-28 00:16:00,40.8917838,29.3820471
11522,Yurt_A3_S_2022_64:80,2016-05-28 00:06:00,2016-05-28 00:16:00,40.8922551,29.3830836
15696,Yurt_A6_3028_64:70,2016-05-28 00:06:00,2016-05-28 00:16:00,40.8926733,29.3813851
603,Yurt_B3_Kat2_AP1_86:0e,2016-05-28 00:06:00,2016-05-28 00:16:00,40.8912145,29.3819252
609,Yurt_B5_Kat3_AP2_62:96,2016-05-28 00:06:00,2016-05-28 00:16:00,40.8920494,29.380624
650,Yurt_B4_K2_AP5_64:56,2016-05-28 00:06:00,2016-05-28 00:16:00,40.8917155,29.382123
682,Yurt_A6_2028_63:f4,2016-05-28 00:06:00,2016-05-28 00:16:00,40.8927356,29.3815402
672,Yurt_B4_101_103_AP1_64:08,2016-05-28 00:06:00,2016-05-28 00:26:00,40.8913871,29.382149
706,Piazza_Cafe_7b:f7,2016-05-28 00:06:00,2016-05-28 01:07:00,40.8918525,29.3814655
886,Yurt_A2_S_204_f8:39,2016-05-28 00:06:00,2016-05-28 00:16:00,40.8922592,29.3821769
991,Yurt_B8_2053_59:40,2016-05-28 00:06:00,2016-05-28 00:16:00,40.8936324,29.3807498
5338,Yurt_B1_KatG_AP1_5a:78,2016-05-28 00:06:00,2016-05-28 00:16:00,40.8926823,29.3809213
19507,President_House_7b:a2,2016-05-28 00:06:00,2016-05-28 00:36:00,40.8924657,29.3833071
853,Yurt_A5_309_64:7c,2016-05-28 00:06:00,2016-05-28 10:00:00,40.892745,29.3824068
858,Yurt_B4_101_103_AP1_64:08,2016-05-28 00:06:00,2016-05-28 00:47:00,40.8913871,29.382149
1098,Yurt_B4_116_1118_AP6_64:3c,2016-05-28 00:06:00,2016-05-28 00:16:00,40.8918133,29.3820547
1179,Yurt_B11_KatG_AP1_23:cf,2016-05-28 00:06:00,2016-05-28 01:17:00,40.8908287,29.382596
1202,Yurt_B9_209_62:24,2016-05-28 00:06:00,2016-05-28 00:16:00,40.8942176,29.3804788
1251,Yurt_B9_004_71:ca,2016-05-28 00:06:00,2016-05-28 00:16:00,40.8941378,29.3806375
1128,Yurt_A3_F_1021_5a:88,2016-05-28 00:06:00,2016-05-28 00:26:00,40.892241,29.3830936
10346,Yurt_F_G02_01:4c,2016-05-28 00:06:00,2016-05-28 09:30:00,40.891399,29.3835996
16132,FMAN_210_Oda_35:d6,2016-05-28 00:06:00,2016-05-28 00:26:00,40.8920126,29.3790014
1353,Yurt_A4_203_5b:04,2016-05-28 00:06:00,2016-05-28 00:16:00,40.8926558,29.3827778
1324,Yurt_A2_T_3023_5b:84,2016-05-28 00:06:00,2016-05-28 00:16:00,40.8920279,29.3826785
1435,Yurt_B1_209_5a:76,2016-05-28 00:06:00,2016-05-28 00:26:00,40.8924705,29.3810167
1409,Yurt_B7_003_62:ca,2016-05-28 00:06:00,2016-05-28 12:21:00,40.8931097,29.3816516
1428,Yurt_B1_KatG_AP1_5a:78,2016-05-28 00:06:00,2016-05-28 00:16:00,40.8926823,29.3809213
1432,Yurt_A4_G003_62:66,2016-05-28 00:06:00,2016-05-28 05:18:00,40.8928365,29.3827322
1476,Yurt_A1_F_1026_5d:dc,2016-05-28 00:06:00,2016-05-28 00:16:00,40.8919378,29.3816857
1526,Yurt_A1_G_03_f8:35,2016-05-28 00:06:00,2016-05-28 00:16:00,40.8918924,29.3819134
1653,Yurt_B6_207_74:06,2016-05-28 00:06:00,2016-05-28 00:26:00,40.8928955,29.3813478
1540,Yurt_A3_G_006_62:62,2016-05-28 00:06:00,2016-05-28 00:16:00,40.8921866,29.3829386
1547,Yurt_A5_303_63:a6,2016-05-28 00:06:00,2016-05-28 00:26:00,40.8929776,29.3820221
