device,router,connect_at,disconnect_at,lat,lng
11857,Yurt_B8_109_62:d2,2016-05-21 00:02:00,2016-05-21 00:32:00,40.8937367,29.3808489
14626,IC_7/24_c4:2f,2016-05-21 00:02:00,2016-05-21 00:12:00,40.8900774,29.3776708
5187,FENS_1092:36:0e,2016-05-21 00:02:00,2016-05-21 00:12:00,40.8908797,29.3797616
5179,Yurt_B7_007_62:1e,2016-05-21 00:02:00,2016-05-21 00:22:00,40.8931705,29.3818756
5176,Yurt_B4_K2_AP3_86:16,2016-05-21 00:02:00,2016-05-21 12:09:00,40.8913067,29.3824891
5171,Yurt_B10_Kat2_AP1_59:24,2016-05-21 00:02:00,2016-05-21 00:12:00,40.8910166,29.3833481
13393,FENS_altkapi_c4:06,2016-05-21 00:02:00,2016-05-21 00:12:00,40.8904922,29.3786853
7633,Yurt_B8_204_64:1e,2016-05-21 00:02:00,2016-05-21 00:12:00,40.8938545,29.3809099
8396,FMAN_Teras_Outway_cc:7c,2016-05-21 00:02:00,2016-05-21 00:12:00,40.8908022,29.3782272
18400,Kutuphane_Giris_Sag_7b:ae,2016-05-21 00:02:00,2016-05-21 00:12:00,40.8902597,29.3777499
5159,Yurt_Cafe1_35:f7,2016-05-21 00:02:00,2016-05-21 00:42:00,40.8917931,29.3813097
5146,CP_Marangozhane_7b:ca,2016-05-21 00:02:00,2016-05-21 00:12:00,40.8880871,29.3807611
5145,Yurt_B2_G001_5b:00,2016-05-21 00:02:00,2016-05-21 00:22:00,40.8926967,29.380191
5111,FENS_Amfi_2_0c:f4,2016-05-21 00:02:00,2016-05-21 00:22:00,40.890253,29.3791494
12582,Yurt_A6_G028_64:5e,2016-05-21 00:02:00,2016-05-21 00:22:00,40.8926447,29.3815286
4977,Yurt_B11_Kat2_AP1_62:2a,2016-05-21 00:02:00,2016-05-21 00:12:00,40.8907774,29.382808
4952,Yurt_A3_S_2022_64:80,2016-05-21 00:02:00,2016-05-21 00:52:00,40.8922551,29.3830836
16436,Yurt_B1_G046_08:7e,2016-05-21 00:02:00,2016-05-21 00:22:00,40.8928648,29.3811492
4894,FENS_2100_ac:16,2016-05-21 00:02:00,2016-05-21 01:13:00,40.8905991,29.3798372
