device,router,connect_at,disconnect_at,lat,lng
7,Yurt_B10_KatG_Ap4_85:0e,2016-05-30 00:01:00,2016-05-30 00:11:00,40.8908833,29.3828546
54,Yurt_A1_T_303_f8:5a,2016-05-30 00:01:00,2016-05-30 00:51:00,40.8917838,29.3820471
110,Yurt_B5_Kat1_AP2_63:52,2016-05-30 00:01:00,2016-05-30 05:54:00,40.8923274,29.3812465
11211,Yurt_B11_Kat3_AP2_55:a2,2016-05-30 00:01:00,2016-05-30 01:12:00,40.8906273,29.3827336
94,Yurt_B6_Kat3_AP3_5d:ca,2016-05-30 00:01:00,2016-05-30 01:32:00,40.8931616,29.3813229
196,Yurt_B11_Kat3_AP2_55:a2,2016-05-30 00:01:00,2016-05-30 00:11:00,40.8906273,29.3827336
200,Yurt_B4_004-006_AP3_84:84,2016-05-30 00:01:00,2016-05-30 07:15:00,40.8912961,29.382586
209,Yurt_A6_3028_64:70,2016-05-30 00:01:00,2016-05-30 00:51:00,40.8926733,29.3813851
258,Yurt_B6_Kat2_AP3_64:24,2016-05-30 00:01:00,2016-05-30 00:21:00,40.8931563,29.3813792
264,Yurt_G_G12_fc:bc,2016-05-30 00:01:00,2016-05-30 01:22:00,40.8912399,29.3837109
369,Yurt_A1_S_203_f8:3f,2016-05-30 00:01:00,2016-05-30 08:06:00,,
348,FENS_L002-3_91:95,2016-05-30 00:01:00,2016-05-30 00:11:00,40.8909298,29.379637
378,Yurt_B10_Kat2_AP4_84:da,2016-05-30 00:01:00,2016-05-30 00:21:00,40.8908502,29.3830637
325,Amfi_Tiyatro_2_7e:52,2016-05-30 00:01:00,2016-05-30 00:11:00,40.8930091,29.3792907
18790,Yurt_B9_004_71:ca,2016-05-30 00:01:00,2016-05-30 00:21:00,40.8941378,29.3806375
428,Yurt_A6_308_73:4e,2016-05-30 00:01:00,2016-05-30 00:31:00,40.8924527,29.3816769
551,Yurt_Cafe1_35:f7,2016-05-30 00:01:00,2016-05-30 00:11:00,40.8917931,29.3813097
549,Yurt_B8_000_64:c0,2016-05-30 00:01:00,2016-05-30 00:21:00,40.893834,29.3808033
450,Yurt_B10_Kat2_AP1_59:24,2016-05-30 00:01:00,2016-05-30 00:31:00,40.8910166,29.3833481
479,Yurt_B11_KatG_AP4_5a:6c,2016-05-30 00:01:00,2016-05-30 01:01:00,40.8907562,29.3830987
668,Yurt_B1_209_5a:76,2016-05-30 00:01:00,2016-05-30 00:51:00,40.8924705,29.3810167
681,Kut_Kat1_Sag1_a9:3e,2016-05-30 00:01:00,2016-05-30 00:41:00,40.8905387,29.3775319
16250,D2_2037_d4:f2,2016-05-30 00:01:00,2016-05-30 00:21:00,40.8917851,29.3825736
16121,Yurt_B1_KatG_AP4_08:7e,2016-05-30 00:01:00,2016-05-30 00:21:00,40.8928648,29.3811492
832,Yurt_B11_Kat3_AP1_62:c4,2016-05-30 00:01:00,2016-05-30 00:11:00,40.8907129,29.3828123
845,Yurt_B9_104_63:b8,2016-05-30 00:01:00,2016-05-30 00:21:00,40.89412,29.380617
8714,Yurt_A5_309_64:7c,2016-05-30 00:01:00,2016-05-30 00:11:00,40.892745,29.3824068
18303,Yurt_B9_3053_63:94,2016-05-30 00:01:00,2016-05-30 00:21:00,40.8944103,29.3807027
961,CP_Gursel_22:2b,2016-05-30 00:01:00,2016-05-30 00:21:00,40.8889454,29.3781345
973,Yurt_B6_Kat3_AP1_59:34,2016-05-30 00:01:00,2016-05-30 00:21:00,40.8928906,29.3809673
5338,Yurt_B1_KatG_AP2_64:a0,2016-05-30 00:01:00,2016-05-30 00:21:00,40.8927216,29.3808706
982,Yurt_A2_S_2020_5b:54,2016-05-30 00:01:00,2016-05-30 00:31:00,40.8922327,29.38282
991,Yurt_B8_204_64:1e,2016-05-30 00:01:00,2016-05-30 00:51:00,40.8938545,29.3809099
1076,Yurt_A5_2028_63:d6,2016-05-30 00:01:00,2016-05-30 00:21:00,40.8926634,29.3819865
1079,Yurt_B8_000_64:c0,2016-05-30 00:01:00,2016-05-30 09:27:00,40.893834,29.3808033
5350,Main_Gate_e4:b0,2016-05-30 00:01:00,2016-05-30 00:31:00,40.8897876,29.3739547
1066,Yurt_B6_KatG_AP2_64:04,2016-05-30 00:01:00,2016-05-30 00:31:00,40.8927178,29.3811884
1069,CP_Depo_n_e6:14,2016-05-30 00:01:00,2016-05-30 00:21:00,40.8885015,29.3799049
1145,Amfi_Tiyatro_1_7c:cc,2016-05-30 00:01:00,2016-05-30 00:11:00,40.8930574,29.3792457
1021,Yurt_A4_2020_5e:e6,2016-05-30 00:01:00,2016-05-30 01:22:00,40.8928006,29.3827207
