device,router,connect_at,disconnect_at,lat,lng
9,Yurt_B7_2053_63:e2,2016-05-07 00:05:00,2016-05-07 00:25:00,40.8929525,29.3819474
81,Yurt_A5_203_64:c8,2016-05-07 00:05:00,2016-05-07 02:16:00,40.892803,29.3821675
114,Yurt_B6_303_59:34,2016-05-07 00:05:00,2016-05-07 00:25:00,40.8928906,29.3809673
93,Yurt_B1_209_5a:76,2016-05-07 00:05:00,2016-05-07 00:15:00,40.8924705,29.3810167
15624,Yurt_B7_003_62:ca,2016-05-07 00:05:00,2016-05-07 00:25:00,40.8931097,29.3816516
99,Yurt_A3_F_106_47:d9,2016-05-07 00:05:00,2016-05-07 02:47:00,40.8924542,29.3826751
128,CP_Gursel_22:2b,2016-05-07 00:05:00,2016-05-07 00:25:00,40.8889454,29.3781345
10802,Yurt_A3_F_106_47:d9,2016-05-07 00:05:00,2016-05-07 00:15:00,40.8924542,29.3826751
10930,Yurt_B7_104_63:60,2016-05-07 00:05:00,2016-05-07 00:15:00,40.8928944,29.3817477
225,Yurt_B3_225_74:aa,2016-05-07 00:05:00,2016-05-07 02:16:00,40.8911029,29.3819004
237,Yurt_A3_S_209_47:ce,2016-05-07 00:05:00,2016-05-07 04:17:00,40.8924522,29.3828667
182,Yurt_B4_K1_AP3_85:d2,2016-05-07 00:05:00,2016-05-07 10:41:00,40.8914578,29.3824252
17927,FMAN_242_oda,2016-05-07 00:05:00,2016-05-07 01:06:00,40.8918819,29.3785144
263,Yurt_A1_T_308_f8:53,2016-05-07 00:05:00,2016-05-07 00:15:00,40.8922098,29.3820826
342,Yurt_D1A_213_64:ac,2016-05-07 00:05:00,2016-05-07 00:15:00,40.8916045,29.3818876
8322,Yurt_B4_101_103_AP1_64:08,2016-05-07 00:05:00,2016-05-07 00:35:00,40.8913871,29.382149
11598,Yurt_B8_2053_59:40,2016-05-07 00:05:00,2016-05-07 00:25:00,40.8936324,29.3807498
414,Yurt_B3_103_70:7c,2016-05-07 00:05:00,2016-05-07 09:50:00,40.8913527,29.3815534
438,President_House_7b:a2,2016-05-07 00:05:00,2016-05-07 00:25:00,40.8924657,29.3833071
471,Yurt_B9_218_63:66,2016-05-07 00:05:00,2016-05-07 00:35:00,40.89429,29.3804949
461,Yurt_B2_009_74:a0,2016-05-07 00:05:00,2016-05-07 00:15:00,40.8925279,29.3803587
12428,UC_Starbucks_d5:3d,2016-05-07 00:05:00,2016-05-07 00:15:00,40.8917016,29.3801932
477,Yurt_Cafe1_35:f7,2016-05-07 00:05:00,2016-05-07 00:15:00,40.8917931,29.3813097
534,Yurt_B2_105_74:a8,2016-05-07 00:05:00,2016-05-07 01:06:00,40.8924178,29.3802534
552,Main_Gate_e4:b0,2016-05-07 00:05:00,2016-05-07 00:25:00,40.8897876,29.3739547
11522,Yurt_A3_S_203_47:d8,2016-05-07 00:05:00,2016-05-07 00:45:00,40.8920801,29.3829151
524,Yurt_A5_209_63:62,2016-05-07 00:05:00,2016-05-07 01:16:00,40.8925543,29.3824349
525,Yurt_B8_3053_64:9e,2016-05-07 00:05:00,2016-05-07 00:15:00,40.893638,29.3811309
563,Yurt_B8_309_64:aa,2016-05-07 00:05:00,2016-05-07 07:29:00,40.8935179,29.3810673
16525,Main_Gate_e4:b0,2016-05-07 00:05:00,2016-05-07 00:15:00,40.8897876,29.3739547
614,FMAN_G035_35:b0,2016-05-07 00:05:00,2016-05-07 00:25:00,40.8921071,29.3784662
679,Yurt_B11_2030_5d:f8,2016-05-07 00:05:00,2016-05-07 00:15:00,40.8905651,29.3827854
682,Yurt_A6_203_62:20,2016-05-07 00:05:00,2016-05-07 00:45:00,40.8927851,29.3816755
16526,Yurt_B8_104_59:52,2016-05-07 00:05:00,2016-05-07 01:26:00,40.893856,29.3809015
783,Yurt_D1B_223_74:b8,2016-05-07 00:05:00,2016-05-07 00:45:00,40.89193,29.3813777
726,Fass_Otopark_7b:d0,2016-05-07 00:05:00,2016-05-07 00:25:00,40.8888375,29.3777505
773,Yurt_A2_G_003_47:cf,2016-05-07 00:05:00,2016-05-07 00:15:00,40.8919201,29.3823708
13869,Main_Gate_e4:b0,2016-05-07 00:05:00,2016-05-07 00:25:00,40.8897876,29.3739547
838,Yurt_B10_303_64:30,2016-05-07 00:05:00,2016-05-07 01:36:00,40.8910154,29.383399
816,FMAN_G062_58:f2,2016-05-07 00:05:00,2016-05-07 00:25:00,40.8918962,29.3786444
880,Yurt_D1A_213_64:ac,2016-05-07 00:05:00,2016-05-07 00:35:00,40.8916045,29.3818876
7510,UC_1006_eb:19,2016-05-07 00:05:00,2016-05-07 00:35:00,40.8922215,29.3795438
922,FENS_Teras_Outway_ba:1a,2016-05-07 00:05:00,2016-05-07 00:15:00,40.8913565,29.3789192
17730,Yurt_B3_007_64:90,2016-05-07 00:05:00,2016-05-07 00:35:00,40.8910343,29.3811708
858,Yurt_B4_101_103_AP1_64:08,2016-05-07 00:05:00,2016-05-07 09:30:00,40.8913871,29.382149
8018,Yurt_B1_304_64:66,2016-05-07 00:05:00,2016-05-07 00:25:00,40.8928554,29.3811662
1035,CP_Gursel_22:2b,2016-05-07 00:05:00,2016-05-07 00:15:00,40.8889454,29.3781345
1069,CP_Marangozhane_7b:ca,2016-05-07 00:05:00,2016-05-07 00:25:00,40.8880871,29.3807611
11296,Yurt_B8_109_62:d2,2016-05-07 00:05:00,2016-05-07 00:15:00,40.8937367,29.3808489
1056,FASS_1099_3c:25,2016-05-07 00:05:00,2016-05-07 03:07:00,40.8901095,29.3783466
1167,Yurt_B8_304_63:e6,2016-05-07 00:05:00,2016-05-07 00:15:00,40.8938689,29.3809913
1143,Yurt_B2_G001_5b:00,2016-05-07 00:05:00,2016-05-07 00:15:00,40.8926967,29.380191
1124,Yurt_B1_110_ff:fc,2016-05-07 00:05:00,2016-05-07 00:25:00,40.8924983,29.3810666
1134,Yurt_B6_007_64:04,2016-05-07 00:05:00,2016-05-07 00:15:00,40.8927178,29.3811884
1169,FMAN_1049_35:ef,2016-05-07 00:05:00,2016-05-07 00:15:00,40.8921043,29.3782213
1182,Yurt_B2_206_59:70,2016-05-07 00:05:00,2016-05-07 00:25:00,40.8925586,29.3804845
1189,Yurt_A1_G_Mutfak_f8:5d,2016-05-07 00:05:00,2016-05-07 00:35:00,40.8921986,29.3817333
1200,Yurt_B8_000_64:c0,2016-05-07 00:05:00,2016-05-07 00:15:00,40.893834,29.3808033
1244,Yurt_A6_203_62:20,2016-05-07 00:05:00,2016-05-07 00:55:00,40.8927851,29.3816755
1164,Yurt_B9_218_63:66,2016-05-07 00:05:00,2016-05-07 09:50:00,40.89429,29.3804949
1165,Yurt_B2_215_74:46,2016-05-07 00:05:00,2016-05-07 01:06:00,40.8924525,29.380652
1248,Yurt_D1A_205_62:6c,2016-05-07 00:05:00,2016-05-07 02:26:00,40.8917871,29.3813567
11906,Yurt_A1_G_Mutfak_f8:5d,2016-05-07 00:05:00,2016-05-07 00:25:00,40.8921986,29.3817333
1261,Yurt_B1_219_59:3e,2016-05-07 00:05:00,2016-05-07 09:10:00,40.8928409,29.3810998
8896,Yurt_B7_2053_63:e2,2016-05-07 00:05:00,2016-05-07 01:46:00,40.8929525,29.3819474
12963,Yurt_A4_1021_5c:64,2016-05-07 00:05:00,2016-05-07 01:06:00,40.8928701,29.3827405
1279,Yurt_A6_2028_63:f4,2016-05-07 00:05:00,2016-05-07 00:35:00,40.8927356,29.3815402
1280,Yurt_A5_3028_60:60,2016-05-07 00:05:00,2016-05-07 00:15:00,40.892843,29.3823018
1344,Yurt_B6_213_64:24,2016-05-07 00:05:00,2016-05-07 03:07:00,40.8931563,29.3813792
1258,Yurt_A6_005_74:20,2016-05-07 00:05:00,2016-05-07 01:06:00,40.8925596,29.3816736
17496,UC_kubbe_starbucks_a4:b2,2016-05-07 00:05:00,2016-05-07 00:15:00,40.8914018,29.3799623
10346,Yurt_F_G02_01:4c,2016-05-07 00:05:00,2016-05-07 00:25:00,40.891399,29.3835996
11912,Yurt_B9_319_5c:46,2016-05-07 00:05:00,2016-05-07 00:15:00,40.8944974,29.3803707
1320,Piazza_Cafe_7b:f7,2016-05-07 00:05:00,2016-05-07 00:15:00,40.8918525,29.3814655
1402,Yurt_B7_1039_63:10,2016-05-07 00:05:00,2016-05-07 00:15:00,40.8932463,29.3820847
1403,CP_Gursel_22:2b,2016-05-07 00:05:00,2016-05-07 00:15:00,40.8889454,29.3781345
1437,Yurt_B10_319_64:c6,2016-05-07 00:05:00,2016-05-07 12:32:00,40.890942,29.3829536
1366,Yurt_A2_T_309_f7:7e,2016-05-07 00:05:00,2016-05-07 00:15:00,40.8923437,29.3822749
1388,Yurt_A2_F_106_f8:4a,2016-05-07 00:05:00,2016-05-07 00:15:00,40.8922806,29.3823489
1420,FASS_G039_3c:27,2016-05-07 00:05:00,2016-05-07 00:25:00,40.8904877,29.3783466
1422,Yurt_B1_319_62:84,2016-05-07 00:05:00,2016-05-07 12:52:00,40.8928074,29.3811605
1476,Yurt_A1_G_027_62:0a,2016-05-07 00:05:00,2016-05-07 00:15:00,40.8918919,29.3818617
1484,Yurt_B6_117_56:c4,2016-05-07 00:05:00,2016-05-07 00:15:00,40.8928568,29.3813787
1490,Yurt_B4_K2_AP1_74:ae,2016-05-07 00:05:00,2016-05-07 00:45:00,40.8913857,29.3819925
1553,Yurt_B2_009_74:a0,2016-05-07 00:05:00,2016-05-07 00:15:00,40.8925279,29.3803587
13712,Yurt_A5_003_5a:dc,2016-05-07 00:05:00,2016-05-07 00:15:00,40.8928803,29.3820338
1557,FASS_G001_koridor_c4:07,2016-05-07 00:05:00,2016-05-07 00:15:00,40.8900603,29.3779736
1547,Yurt_A5_3028_60:60,2016-05-07 00:05:00,2016-05-07 00:15:00,40.892843,29.3823018
1531,Yurt_A1_F_1026_5d:dc,2016-05-07 00:05:00,2016-05-07 00:15:00,40.8919378,29.3816857
1606,FASS_G039_3c:27,2016-05-07 00:05:00,2016-05-07 00:55:00,40.8904877,29.3783466
5904,Yurt_B1_209_62:e2,2016-05-07 00:05:00,2016-05-07 00:15:00,40.892649,29.3812167
9774,Yurt_Cafe1_35:f7,2016-05-07 00:05:00,2016-05-07 00:25:00,40.8917931,29.3813097
1625,FMAN_1096__c4:0d,2016-05-07 00:05:00,2016-05-07 00:15:00,40.8923302,29.3792071
1631,Yurt_B11_010_5a:6c,2016-05-07 00:05:00,2016-05-07 00:35:00,40.8907562,29.3830987
1632,IC_7/24_c4:0c,2016-05-07 00:05:00,2016-05-07 00:15:00,40.8900282,29.3776976
12442,Yurt_B7_104_63:60,2016-05-07 00:05:00,2016-05-07 00:15:00,40.8928944,29.3817477
16034,FMAN_G042_7b:6c,2016-05-07 00:05:00,2016-05-07 00:15:00,,
1737,SNM_G150_33:cd,2016-05-07 00:05:00,2016-05-07 00:15:00,40.8898803,29.3790868
11342,CP_G076_Elektrik_Odas&#305;_n03:a2,2016-05-07 00:05:00,2016-05-07 08:40:00,40.8885083,29.3798546
14990,Yurt_B3_117_72:0c,2016-05-07 00:05:00,2016-05-07 00:15:00,40.8907933,29.3820253
14568,Yurt_A3_F_1021_5a:88,2016-05-07 00:05:00,2016-05-07 00:35:00,40.892241,29.3830936
1807,FASS_1081_3c:02,2016-05-07 00:05:00,2016-05-07 01:26:00,40.8903154,29.3788772
1809,Yurt_B10_319_64:c6,2016-05-07 00:05:00,2016-05-07 00:15:00,40.890942,29.3829536
1804,Yurt_Cafe1_35:f7,2016-05-07 00:05:00,2016-05-07 00:15:00,40.8917931,29.3813097
1758,Yurt_A5_105_d3:68,2016-05-07 00:05:00,2016-05-07 12:52:00,40.8927112,29.3821344
10607,FENS_G036_35:f3,2016-05-07 00:05:00,2016-05-07 00:35:00,40.8907321,29.379272
1791,Picasdro_Cafe_7c:25,2016-05-07 00:05:00,2016-05-07 00:15:00,40.8916833,29.381402
1837,Yurt_B4_116_1118_AP6_64:3c,2016-05-07 00:05:00,2016-05-07 00:15:00,40.8918133,29.3820547
1878,Yurt_B9_319_5c:46,2016-05-07 00:05:00,2016-05-07 00:15:00,40.8944974,29.3803707
1847,Yurt_A3_F_103_47:d2,2016-05-07 00:05:00,2016-05-07 00:15:00,40.8922499,29.3828613
1922,Yurt_B8_117_5d:c2,2016-05-07 00:05:00,2016-05-07 00:15:00,40.8935108,29.3806947
11703,Yurt_B9_117_63:48,2016-05-07 00:05:00,2016-05-07 00:15:00,40.8942655,29.3804906
1918,Yurt_B1_110_ff:fc,2016-05-07 00:05:00,2016-05-07 00:15:00,40.8924983,29.3810666
1943,Main_Gate_e4:b0,2016-05-07 00:05:00,2016-05-07 00:25:00,40.8897876,29.3739547
1973,Yurt_A5_105_d3:68,2016-05-07 00:05:00,2016-05-07 00:15:00,40.8927112,29.3821344
1932,Yurt_B6_111_64:9a,2016-05-07 00:05:00,2016-05-07 00:15:00,40.8933029,29.3813454
1958,Yurt_A6_1028_70:60,2016-05-07 00:05:00,2016-05-07 00:15:00,40.8926611,29.381405
11626,UC_G017_e6:32,2016-05-07 00:05:00,2016-05-07 00:25:00,40.8920695,29.3797719
14216,FMAN_204_34:c4,2016-05-07 00:05:00,2016-05-07 07:39:00,40.891931,29.3790437
2100,FENS_G015_eb:9e,2016-05-07 00:05:00,2016-05-07 00:15:00,40.8902813,29.3789327
2129,Yurt_B8_309_64:aa,2016-05-07 00:05:00,2016-05-07 00:45:00,40.8935179,29.3810673
2130,Yurt_B6_303_59:34,2016-05-07 00:05:00,2016-05-07 00:35:00,40.8928906,29.3809673
