device,router,connect_at,disconnect_at,lat,lng
114,Yurt_B6_303_59:34,2016-05-01 00:00:00,2016-05-01 00:21:00,40.8928906,29.3809673
134,Yurt_B7_117_5c:50,2016-05-01 00:00:00,2016-05-01 07:30:00,40.8929722,29.382149
85,Yurt_B8_319_5d:be,2016-05-01 00:00:00,2016-05-01 00:10:00,40.8933421,29.3807265
110,Yurt_B5_105_63:52,2016-05-01 00:00:00,2016-05-01 00:10:00,40.8923274,29.3812465
170,Yurt_B7_104_63:60,2016-05-01 00:00:00,2016-05-01 00:10:00,40.8928944,29.3817477
258,Yurt_B1_309_62:6a,2016-05-01 00:00:00,2016-05-01 00:10:00,40.8925499,29.3806403
300,Yurt_G_G03_0a:a4,2016-05-01 00:00:00,2016-05-01 00:10:00,40.8914566,29.3836555
11003,Yurt_D1A_104_5c:e2,2016-05-01 00:00:00,2016-05-01 00:10:00,40.8915796,29.3814459
16016,Yurt_A2_T_303_f8:71,2016-05-01 00:00:00,2016-05-01 00:21:00,40.8919288,29.3824428
414,Yurt_B3_103_70:7c,2016-05-01 00:00:00,2016-05-01 00:51:00,40.8913527,29.3815534
450,Yurt_B10_203_59:24,2016-05-01 00:00:00,2016-05-01 00:10:00,40.8910166,29.3833481
17129,Yurt_A3_F_1021_5a:88,2016-05-01 00:00:00,2016-05-01 00:10:00,40.892241,29.3830936
219,Yurt_B5_311_64:02,2016-05-01 00:00:00,2016-05-01 00:10:00,40.8922811,29.380872
369,Yurt_A1_S_2029_5d:e0,2016-05-01 00:00:00,2016-05-01 12:33:00,40.8920586,29.381912
12367,Yurt_B4_218_64:56,2016-05-01 00:00:00,2016-05-01 00:10:00,40.8917155,29.382123
472,Yurt_A6_303_63:c0,2016-05-01 00:00:00,2016-05-01 02:04:00,40.8928123,29.3816709
10633,Yurt_A5_2028_63:d6,2016-05-01 00:00:00,2016-05-01 00:10:00,40.8926634,29.3819865
10296,Yurt_Cafe1_35:f7,2016-05-01 00:00:00,2016-05-01 00:10:00,40.8917931,29.3813097
581,Yurt_A2_T_303_f8:71,2016-05-01 00:00:00,2016-05-01 00:21:00,40.8919288,29.3824428
499,Yurt_B1_G016_64:a0,2016-05-01 00:00:00,2016-05-01 00:51:00,40.8927216,29.3808706
15230,Yurt_A4_3022_63:88,2016-05-01 00:00:00,2016-05-01 01:22:00,40.892906,29.3826768
764,Yurt_B9_104_63:b8,2016-05-01 00:00:00,2016-05-01 00:10:00,40.89412,29.380617
826,Yurt_A6_1028_70:60,2016-05-01 00:00:00,2016-05-01 00:41:00,40.8926611,29.381405
990,Yurt_B4_211_61:ac,2016-05-01 00:00:00,2016-05-01 00:10:00,40.8915281,29.3821328
1082,Yurt_B2_315_64:76,2016-05-01 00:00:00,2016-05-01 00:21:00,40.8923541,29.3806977
1095,Yurt_D1A_209_64:8c,2016-05-01 00:00:00,2016-05-01 00:10:00,40.8914002,29.3819022
1137,Yurt_B2_215_74:46,2016-05-01 00:00:00,2016-05-01 03:48:00,40.8924525,29.380652
1066,Yurt_A5_005_08:20,2016-05-01 00:00:00,2016-05-01 00:10:00,,
16917,Yurt_G_G03_0a:a4,2016-05-01 00:00:00,2016-05-01 01:02:00,40.8914566,29.3836555
1140,Yurt_B7_117_5c:50,2016-05-01 00:00:00,2016-05-01 10:32:00,40.8929722,29.382149
1108,Yurt_A5_005_08:20,2016-05-01 00:00:00,2016-05-01 04:18:00,,
8896,Yurt_B8_3053_64:9e,2016-05-01 00:00:00,2016-05-01 00:10:00,40.893638,29.3811309
16132,FMAN_210_Oda_35:d6,2016-05-01 00:00:00,2016-05-01 00:31:00,40.8920126,29.3790014
1348,Yurt_A4_G016_5E:12,2016-05-01 00:00:00,2016-05-01 00:10:00,,
1334,Yurt_B4_224_64:3a,2016-05-01 00:00:00,2016-05-01 00:21:00,40.8914839,29.38201
1345,Yurt_B9_209_62:24,2016-05-01 00:00:00,2016-05-01 00:10:00,40.8942176,29.3804788
16027,Yurt_B1_104_64:a8,2016-05-01 00:00:00,2016-05-01 08:11:00,40.8922643,29.3813061
1418,Yurt_B2_009_74:a0,2016-05-01 00:00:00,2016-05-01 02:47:00,40.8925279,29.3803587
1409,Yurt_B1_107_5e:0c,2016-05-01 00:00:00,2016-05-01 10:32:00,40.8928594,29.3809886
1403,Yurt_B8_219_64:2e,2016-05-01 00:00:00,2016-05-01 11:02:00,40.8934686,29.3808477
1476,Yurt_A4_G003_62:66,2016-05-01 00:00:00,2016-05-01 00:10:00,40.8928365,29.3827322
1526,Yurt_A1_G_03_f8:35,2016-05-01 00:00:00,2016-05-01 00:21:00,40.8918924,29.3819134
1548,Amfi_Tiyatro_3_7f:04,2016-05-01 00:00:00,2016-05-01 00:21:00,40.8929699,29.3794177
1648,Yurt_A6_103_74:22,2016-05-01 00:00:00,2016-05-01 00:10:00,40.8929099,29.3816002
16033,Yurt_B7_210_62:ae,2016-05-01 00:00:00,2016-05-01 00:10:00,40.8933246,29.3816665
1663,Yurt_A4_209_64:58,2016-05-01 00:00:00,2016-05-01 00:31:00,40.8926928,29.3825262
15629,Yurt_B1_115_63:50,2016-05-01 00:00:00,2016-05-01 01:12:00,40.8927238,29.3806319
1679,Yurt_A4_G016_5E:12,2016-05-01 00:00:00,2016-05-01 02:25:00,,
8723,Yurt_B1_319_62:84,2016-05-01 00:00:00,2016-05-01 00:21:00,40.8928074,29.3811605
12442,Yurt_A2_T_309_f7:7e,2016-05-01 00:00:00,2016-05-01 00:10:00,40.8923437,29.3822749
1840,CP_G078_Koridor_e4:0a,2016-05-01 00:00:00,2016-05-01 03:07:00,40.8885558,29.3799841
14895,Yurt_A5_105_d3:68,2016-05-01 00:00:00,2016-05-01 00:10:00,40.8927112,29.3821344
1885,Piazza_Cafe_7b:f7,2016-05-01 00:00:00,2016-05-01 00:10:00,40.8918525,29.3814655
10701,D2_2008_7b:71,2016-05-01 00:00:00,2016-05-01 00:21:00,40.8921239,29.3829058
1958,Yurt_A6_1028_70:60,2016-05-01 00:00:00,2016-05-01 00:10:00,40.8926611,29.381405
2051,Yurt_A4_3022_63:88,2016-05-01 00:00:00,2016-05-01 00:10:00,40.892906,29.3826768
2132,Yurt_B10_3030_61:bc,2016-05-01 00:00:00,2016-05-01 00:10:00,40.8909511,29.3828069
8249,Yurt_A6_103_74:22,2016-05-01 00:00:00,2016-05-01 00:10:00,40.8929099,29.3816002
2140,Yurt_B5_307_62:96,2016-05-01 00:00:00,2016-05-01 00:10:00,40.8920494,29.380624
2163,Yurt_B1_209_5a:76,2016-05-01 00:00:00,2016-05-01 00:21:00,40.8924705,29.3810167
2120,Yurt_Cafe1_35:f7,2016-05-01 00:00:00,2016-05-01 00:31:00,40.8917931,29.3813097
2306,Yurt_B9_3053_63:94,2016-05-01 00:00:00,2016-05-01 00:41:00,40.8944103,29.3807027
2244,Yurt_A6_G028_64:5e,2016-05-01 00:00:00,2016-05-01 00:51:00,40.8926447,29.3815286
10571,Yurt_B5_211_74:52,2016-05-01 00:00:00,2016-05-01 00:41:00,40.8920739,29.380988
2304,Yurt_B2_105_74:a8,2016-05-01 00:00:00,2016-05-01 00:31:00,40.8924178,29.3802534
13436,CP_G076_Elektrik_Odas&#305;_n03:a2,2016-05-01 00:00:00,2016-05-01 00:10:00,40.8885083,29.3798546
2436,Yurt_B7_219_63:38,2016-05-01 00:00:00,2016-05-01 00:10:00,40.8930657,29.3821384
15062,Yurt_B1_107_5e:0c,2016-05-01 00:00:00,2016-05-01 01:12:00,40.8928594,29.3809886
16043,Yurt_B2_211_60:80,2016-05-01 00:00:00,2016-05-01 00:31:00,40.8925599,29.380639
7690,Yurt_A3_F_1021_5a:88,2016-05-01 00:00:00,2016-05-01 00:21:00,40.892241,29.3830936
2427,Yurt_B5_307_62:96,2016-05-01 00:00:00,2016-05-01 00:21:00,40.8920494,29.380624
2491,Yurt_B10_103_74:bc,2016-05-01 00:00:00,2016-05-01 00:10:00,40.8908505,29.3832562
2608,Yurt_D1B_218_e5:88,2016-05-01 00:00:00,2016-05-01 00:10:00,40.8919709,29.3814396
2671,CP_G076_Elektrik_Odas&#305;_n03:a2,2016-05-01 00:00:00,2016-05-01 00:21:00,40.8885083,29.3798546
2673,Yurt_A6_1028_70:60,2016-05-01 00:00:00,2016-05-01 00:10:00,40.8926611,29.381405
15247,Yurt_B10_219_64:10,2016-05-01 00:00:00,2016-05-01 00:10:00,40.8909828,29.3829247
14509,FASS_G039_3c:27,2016-05-01 00:00:00,2016-05-01 00:10:00,40.8904877,29.3783466
14101,FMAN_G035_35:b0,2016-05-01 00:00:00,2016-05-01 00:31:00,40.8921071,29.3784662
2734,Yurt_A6_G028_64:5e,2016-05-01 00:00:00,2016-05-01 09:31:00,40.8926447,29.3815286
2814,Yurt_B3_209_74:70,2016-05-01 00:00:00,2016-05-01 00:21:00,40.8911322,29.3813333
2850,Yurt_B1_115_63:50,2016-05-01 00:00:00,2016-05-01 02:04:00,40.8927238,29.3806319
2808,Yurt_B3_203_64:38,2016-05-01 00:00:00,2016-05-01 00:31:00,40.8913807,29.3817424
11230,Yurt_A4_G003_62:66,2016-05-01 00:00:00,2016-05-01 00:31:00,40.8928365,29.3827322
2899,Yurt_B6_207_74:06,2016-05-01 00:00:00,2016-05-01 00:10:00,40.8928955,29.3813478
2971,UC_akbank_eb:20,2016-05-01 00:00:00,2016-05-01 00:10:00,40.8917813,29.37948
2991,Yurt_B1_104_64:a8,2016-05-01 00:00:00,2016-05-01 00:10:00,40.8922643,29.3813061
2959,Yurt_B10_1027_74:ba,2016-05-01 00:00:00,2016-05-01 00:31:00,40.8911902,29.3831973
3054,Yurt_A1_F_106_f8:27,2016-05-01 00:00:00,2016-05-01 00:10:00,40.8922173,29.3818446
3123,Yurt_B9_104_63:b8,2016-05-01 00:00:00,2016-05-01 01:22:00,40.89412,29.380617
3169,Yurt_B2_G001_5b:00,2016-05-01 00:00:00,2016-05-01 00:10:00,40.8926967,29.380191
3092,Yurt_B4_118_64:50,2016-05-01 00:00:00,2016-05-01 00:10:00,40.8918522,29.3819501
11974,Yurt_B6_303_59:34,2016-05-01 00:00:00,2016-05-01 00:10:00,40.8928906,29.3809673
12473,Yurt_B7_007_62:1e,2016-05-01 00:00:00,2016-05-01 00:10:00,40.8931705,29.3818756
